run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,1,1241.7758577889763,2510.447841452027,2510.447841452027,16,32,2141,0,-559,0,492.0,0.0,True,False,False,1,,,2141,,,716,1126,410,634,345,0,716,798,82,634,401,0,126.4140625
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,2,1229.6685308140004,3740.1450797340367,3740.1450797340367,16,48,2414,0,-286,0,450.0,0.0,True,False,False,1,,,2141,,,716,1080,364,634,346,0,716,802,86,634,399,0,127.81640625
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,3,1228.703794059984,4968.8570749390055,4968.8570749390055,16,64,3470,770,770,770,337.0,770.0,False,False,False,1,,,2141,,,805,1119,314,560,349,0,775,798,23,560,401,0,127.81640625
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,4,1198.9468265550095,6167.817354033003,6167.817354033003,16,80,2728,28,28,28,283.0,28.0,False,False,False,1,,,2141,,,853,1133,280,526,346,0,792,795,3,528,399,0,128.0703125
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,5,1185.890782218019,7353.721600211051,7353.721600211051,16,96,2542,0,-158,0,205.0,0.0,True,False,False,1,,,2141,,,904,1109,205,494,347,0,801,799,0,503,400,0,128.0703125
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,6,1226.7454697060166,8580.480165862013,8580.480165862013,16,112,2437,0,-263,0,163.0,0.0,True,False,False,1,,,2141,,,958,1121,163,465,346,0,807,799,0,484,400,0,128.328125
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,7,1233.7211187499925,9814.214259094035,9814.214259094035,16,128,2755,55,55,55,91.0,55.0,False,False,False,1,,,2141,,,1015,1106,91,441,347,0,819,801,0,468,400,0,128.5859375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,8,1228.7601554059656,11042.985999566037,11042.985999566037,16,144,2203,0,-497,0,50.0,0.0,True,False,False,1,,,2141,,,1057,1107,50,423,347,0,824,808,0,456,399,0,128.84375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,9,1223.8508335980005,12266.846572558046,12266.846572558046,16,160,2163,0,-537,0,46.0,0.0,True,False,False,1,,,2141,,,1056,1102,46,423,346,0,825,810,0,456,399,0,128.84375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,10,1221.7955744850333,13488.651911487046,13488.651911487046,16,176,2127,0,-573,0,23.0,0.0,True,False,False,1,,,2127,,,1158,1181,23,397,345,0,831,803,0,440,400,0,129.1015625
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,11,1229.6365465390263,14718.298289422004,14718.298289422004,16,192,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,129.359375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,12,1224.4456785279908,15942.754056719015,15942.754056719015,16,208,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,129.359375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,13,1200.433199436986,17143.200981350034,17143.200981350034,16,224,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,129.6171875
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,14,1201.8757518799976,18345.091231498052,18345.091231498052,16,240,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,129.875
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,15,1234.1352843440254,19579.23907219601,19579.23907219601,16,256,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,130.4296875
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,16,1237.1596273790346,20816.40948811703,20816.40948811703,16,272,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,130.6875
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,17,1257.4449932519929,22073.86523422104,22073.86523422104,16,288,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,130.6875
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,18,1249.7254520960269,23323.601657142048,23323.601657142048,16,304,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,130.6875
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,19,1244.8286877479986,24568.441568629,24568.441568629,16,320,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,130.6875
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,20,1248.9013489630306,25817.354515351006,25817.354515351006,16,336,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,130.9453125
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,21,1225.8308808679576,27043.19849332201,27043.19849332201,16,352,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,131.203125
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,22,1195.0547945850412,28238.26544297405,28238.26544297405,16,368,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,133.203125
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,23,1194.162070157996,29432.43968049303,29432.43968049303,16,384,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,133.45703125
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,24,1274.427222541999,30706.879151685047,30706.879151685047,16,400,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,133.71484375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,25,1256.6682517799782,31963.559810919047,31963.559810919047,16,416,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,133.71484375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,26,1249.4029341259738,33212.97557235602,33212.97557235602,16,432,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,133.97265625
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,27,1261.6117888640147,34474.60075628903,34474.60075628903,16,448,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,134.77734375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,28,1234.7487716660253,35709.36249139602,35709.36249139602,16,464,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,134.77734375
AM250__ratio1.00__seed1004__proposed,AM250,250T,2700,1.0,2700,1004,proposed,12037039,12036995,43,1,0,False,,29,1250.9048885840457,36960.28056526603,36960.28056526603,16,480,2445,0,-255,0,0.0,0.0,True,True,True,1,11,11,2127,2445,11,1163,1105,0,398,344,0,825,801,0,440,399,0,134.77734375
