run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,1,1264.434629604686,2543.69169953838,2543.69169953838,16,32,2390,500,500,500,914.0,500.0,False,False,False,,,,2390,,,500,1110,610,447,345,0,500,804,304,459,400,0,127.3359375
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,2,1198.5185188921168,3742.2292203330435,3742.2292203330435,16,48,2252,362,362,362,888.0,362.0,False,False,False,,,,2252,,,530,1144,614,428,347,0,530,804,274,449,399,0,127.8515625
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,3,1200.1733553847298,4942.415325068403,4942.415325068403,16,64,2283,393,393,393,832.0,393.0,False,False,False,,,,2252,,,562,1157,595,412,347,0,562,799,237,442,399,0,127.8515625
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,4,1201.5474507221952,6143.97498160135,6143.97498160135,16,80,2420,530,530,530,710.0,530.0,False,False,False,,,,2252,,,596,1109,513,401,347,0,596,793,197,435,400,0,128.109375
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,5,1194.9793298738077,7338.967833928298,7338.967833928298,16,96,2402,512,512,512,669.0,512.0,False,False,False,,,,2252,,,632,1137,505,391,345,0,632,796,164,430,399,0,128.3671875
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,6,1193.658217264805,8532.63858745899,8532.63858745899,16,112,2612,722,722,722,588.0,722.0,False,False,False,,,,2252,,,670,1125,455,384,346,0,670,803,133,424,399,0,128.3671875
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,7,1195.807896391023,9728.455382188316,9728.455382188316,16,128,2962,1072,1072,1072,433.0,1072.0,False,False,False,,,,2252,,,710,1055,345,378,347,0,710,798,88,418,399,0,128.625
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,8,1187.3249752437696,10915.789312131237,10915.789312131237,16,144,2962,1072,1072,1072,433.0,1072.0,False,False,False,,,,2252,,,710,1055,345,378,347,0,710,798,88,418,399,0,128.8828125
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,9,1198.3704471960664,12114.168974230066,12114.168974230066,16,160,2246,356,356,356,361.0,356.0,False,False,False,,,,2246,,,753,1060,307,372,344,0,747,801,54,418,400,0,128.8828125
AM250__ratio0.70__seed1009__proposed,AM250,250T,2700,0.7,1890,1009,proposed,12037097,12036995,78,1,0,False,,10,1199.4925956679508,13313.670910573099,13313.670910573099,16,176,2332,442,442,442,343.0,442.0,False,False,False,,,,2246,,,846,1181,335,360,345,0,789,797,8,418,400,0,129.140625
