run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,1,2452.1179348870064,4953.856940724014,4953.856940724014,16,32,4169,1159,1159,1159,1566.0,1159.0,False,False,False,,,,4169,,,797,2290,1493,797,870,73,707,407,0,707,419,0,200.59375
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,2,2418.051796054002,7371.930930529023,7371.930930529023,16,48,4630,1620,1620,1620,1457.0,1620.0,False,False,False,,,,4169,,,845,2262,1417,830,870,40,665,409,0,665,419,0,202.0390625
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,3,2449.9486287629697,9821.893253603019,9821.893253603019,16,64,4630,1620,1620,1620,1457.0,1620.0,False,False,False,,,,4169,,,845,2262,1417,830,870,40,665,409,0,665,419,0,202.296875
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,4,2446.7663719080156,12268.677608532016,12268.677608532016,16,80,4630,1620,1620,1620,1457.0,1620.0,False,False,False,,,,4169,,,845,2262,1417,830,870,40,665,409,0,665,419,0,202.296875
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,5,2446.3322824740317,14715.025605075993,14715.025605075993,16,96,4630,1620,1620,1620,1457.0,1620.0,False,False,False,,,,4169,,,845,2262,1417,830,870,40,665,409,0,665,419,0,202.5546875
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,6,2437.798603968986,17152.83856462303,17152.83856462303,16,112,4876,1866,1866,1866,1376.0,1866.0,False,False,False,,,,4169,,,950,2321,1371,866,871,5,588,411,0,588,420,0,202.8125
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,7,2421.3782413969748,19574.23134118202,19574.23134118202,16,128,4606,1596,1596,1596,1270.0,1596.0,False,False,False,,,,4169,,,1007,2277,1270,876,872,0,553,411,0,554,421,0,202.8125
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,8,2543.2239217359456,22117.471734685998,22117.471734685998,16,144,4606,1596,1596,1596,1270.0,1596.0,False,False,False,,,,4169,,,1007,2277,1270,876,872,0,553,411,0,554,421,0,203.0703125
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,9,2498.4674908259767,24615.953818747017,24615.953818747017,16,160,4433,1423,1423,1423,1172.0,1423.0,False,False,False,,,,4169,,,1127,2299,1172,888,869,0,503,412,0,507,420,0,203.0703125
AM500__ratio0.70__seed1002__proposed,AM500,500T,4300,0.7,3010,1002,proposed,12037182,12037076,31,1,0,False,,10,2420.601625964977,27036.570219542016,27036.570219542016,16,176,4752,1742,1742,1742,1140.0,1742.0,False,False,False,,,,4169,,,1187,2327,1140,894,877,0,486,407,0,491,419,0,203.328125
