run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,1,1307.1038352069445,2583.434695471078,2583.434695471078,16,32,2719,559,559,559,756.0,559.0,False,False,False,,,,2719,,,572,1097,525,508,346,0,572,803,231,513,400,0,127.26953125
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,2,1289.2016236749478,3872.6715677599423,3872.6715677599423,16,48,2707,547,547,547,698.0,547.0,False,False,False,,,,2707,,,606,1107,501,478,345,0,606,803,197,490,400,0,127.78515625
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,3,1286.5012018582784,5159.182814729866,5159.182814729866,16,64,2363,203,203,203,634.0,203.0,False,False,False,,,,2363,,,642,1121,479,451,345,0,642,797,155,473,400,0,127.81640625
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,4,1268.8178346180357,6428.014259154908,6428.014259154908,16,80,2287,127,127,127,588.0,127.0,False,False,False,,,,2287,,,681,1144,463,431,345,0,681,806,125,460,402,0,128.0703125
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,5,1269.7081922129728,7697.73634347599,7697.73634347599,16,96,2497,337,337,337,456.0,337.0,False,False,False,,,,2287,,,722,1100,378,414,344,0,722,800,78,450,400,0,128.0703125
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,6,1282.418407108169,8980.165510009043,8980.165510009043,16,112,2173,13,13,13,424.0,13.0,False,False,False,,,,2173,,,765,1143,378,403,346,0,754,800,46,442,400,0,128.328125
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,7,1270.61500235321,10250.794512367807,10250.794512367807,16,128,2518,358,358,358,351.0,358.0,False,False,False,,,,2173,,,765,1068,303,403,344,0,754,802,48,442,399,0,128.5859375
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,8,1229.532315006014,11480.3399672159,11480.3399672159,16,144,2355,195,195,195,274.0,195.0,False,False,False,,,,2173,,,860,1124,264,385,346,0,793,803,10,430,400,0,128.84375
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,9,1206.6981762126088,12687.047944949009,12687.047944949009,16,160,2355,195,195,195,274.0,195.0,False,False,False,,,,2173,,,860,1124,264,385,346,0,793,803,10,430,400,0,128.84375
AM250__ratio0.80__seed1003__proposed,AM250,250T,2700,0.8,2160,1003,proposed,12037064,12036995,62,1,0,False,,10,1221.5053952168673,13908.563363099936,13908.563363099936,16,176,2295,135,135,135,154.0,135.0,False,False,False,,,,2173,,,967,1121,154,373,346,0,810,798,0,418,399,0,129.1015625
