run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,1,1356.4872008499806,2748.243770208035,2748.243770208035,16,32,2384,304,304,304,1823.0,304.0,False,False,False,,,,2384,,,551,1991,1440,489,129,0,489,243,0,551,934,383,117.09375
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,2,1375.2535885180114,4123.522252183,4123.522252183,16,48,2595,515,515,515,1759.0,515.0,False,False,False,,,,2384,,,584,1992,1408,460,129,0,460,243,0,584,935,351,117.125
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,3,1354.285741353,5477.813917701016,5477.813917701016,16,64,2451,371,371,371,1689.0,371.0,False,False,False,,,,2384,,,619,1986,1367,432,129,0,432,243,0,619,941,322,117.125
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,4,1374.296702852007,6852.1196742440225,6852.1196742440225,16,80,2375,295,295,295,1614.0,295.0,False,False,False,,,,2375,,,656,1987,1331,406,129,0,406,244,0,656,939,283,117.37109375
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,5,1363.5538605459733,8215.682588519994,8215.682588519994,16,96,2517,437,437,437,1536.0,437.0,False,False,False,,,,2375,,,695,1990,1295,382,129,0,382,244,0,695,936,241,117.62890625
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,6,1344.2429569319938,9559.93444594898,9559.93444594898,16,112,2720,640,640,640,1449.0,640.0,False,False,False,,,,2375,,,737,1985,1248,359,129,0,359,244,0,737,938,201,117.62890625
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,7,1323.4767396079842,10883.420807379007,10883.420807379007,16,128,2490,410,410,410,1364.0,410.0,False,False,False,,,,2375,,,781,1988,1207,337,129,0,337,243,0,781,938,157,117.88671875
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,8,1288.5570228970028,12171.98333834199,12171.98333834199,16,144,2376,296,296,296,1269.0,296.0,False,False,False,,,,2375,,,828,1986,1158,317,129,0,318,243,0,828,939,111,118.14453125
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,9,1284.6837710079853,13456.672756379005,13456.672756379005,16,160,2386,306,306,306,1171.0,306.0,False,False,False,,,,2375,,,878,1987,1109,298,129,0,303,243,0,874,936,62,118.40234375
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,10,1307.8303510510013,14764.508782179037,14764.508782179037,16,176,2380,300,300,300,1088.0,300.0,False,False,False,,,,2375,,,931,1982,1051,280,129,0,292,243,0,905,942,37,118.40234375
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,11,1312.5037423489848,16077.018566056038,16077.018566056038,16,192,2516,436,436,436,1013.0,436.0,False,False,False,,,,2375,,,987,1986,999,263,129,0,284,243,0,927,941,14,118.66015625
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,12,1326.1954782019602,17403.225399448012,17403.225399448012,16,208,2476,396,396,396,939.0,396.0,False,False,False,,,,2375,,,1046,1984,938,247,129,0,277,243,0,940,941,1,118.91796875
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,13,1330.1705697930302,18733.40389674803,18733.40389674803,16,224,2429,349,349,349,884.0,349.0,False,False,False,,,,2375,,,1106,1990,884,232,129,0,271,243,0,950,936,0,118.91796875
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,14,1338.2056479450548,20071.61751250003,20071.61751250003,16,240,2390,310,310,310,824.0,310.0,False,False,False,,,,2375,,,1166,1990,824,218,129,0,265,243,0,956,945,0,119.17578125
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,15,1308.7319669760182,21380.356157818984,21380.356157818984,16,256,2489,409,409,409,762.0,409.0,False,False,False,,,,2375,,,1226,1988,762,205,129,0,258,243,0,960,940,0,119.17578125
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,16,1272.548950425,22652.91185962502,22652.91185962502,16,272,2383,303,303,303,700.0,303.0,False,False,False,,,,2375,,,1286,1986,700,193,129,0,253,243,0,968,941,0,119.43359375
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,17,1271.5781993819983,23924.497096946987,23924.497096946987,16,288,2402,322,322,322,643.0,322.0,False,False,False,,,,2375,,,1346,1989,643,181,129,0,253,244,0,968,938,0,119.69140625
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,18,1346.6284353029914,25271.132721823,25271.132721823,16,304,2388,308,308,308,583.0,308.0,False,False,False,,,,2375,,,1406,1989,583,171,129,0,253,243,0,968,941,0,119.94921875
AM100__ratio0.80__seed1005__proposed,AM100,100T,2600,0.8,2080,1005,proposed,12037020,12036995,24,1,0,False,,19,1393.1106160220224,26664.25093689002,26664.25093689002,16,320,2380,300,300,300,520.0,300.0,False,False,False,,,,2375,,,1466,1986,520,163,129,0,253,243,0,974,940,0,119.94921875
