run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,1,1201.9749563169898,2413.5825905220117,2413.5825905220117,16,32,2432,2,2,2,659.0,2.0,False,False,False,,,,2432,,,607,1064,457,607,346,0,607,809,202,607,400,0,127.29296875
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,2,1200.564552616037,3614.2372335040127,3614.2372335040127,16,48,2436,6,6,6,560.0,6.0,False,False,False,,,,2432,,,682,1118,436,537,344,0,682,806,124,537,399,0,127.80078125
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,3,1197.3949499489972,4811.640056975011,4811.640056975011,16,64,2681,251,251,251,439.0,251.0,False,False,False,,,,2432,,,723,1091,368,505,346,0,723,794,71,510,400,0,127.80078125
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,4,1199.7592778439866,6011.411779819988,6011.411779819988,16,80,2377,0,-53,0,405.0,0.0,True,False,False,4,,,2377,,,766,1130,364,475,345,0,754,795,41,489,400,0,128.05859375
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,5,1197.8125190210412,7209.236682699004,7209.236682699004,16,96,2356,0,-74,0,338.0,0.0,True,False,False,4,,,2356,,,812,1133,321,449,345,0,781,798,17,472,400,0,128.31640625
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,6,1190.9704123230185,8400.218558718974,8400.218558718974,16,112,2302,0,-128,0,262.0,0.0,True,False,False,4,,,2302,,,861,1115,254,429,344,0,794,802,8,460,399,0,128.31640625
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,7,1188.8769704700098,9589.10844034102,9589.10844034102,16,128,2328,0,-102,0,245.0,0.0,True,False,False,4,,,2302,,,913,1158,245,413,345,0,805,805,0,450,400,0,128.57421875
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,8,1186.249898419017,10775.372059663001,10775.372059663001,16,144,2513,83,83,83,167.0,83.0,False,False,False,4,,,2302,,,968,1135,167,401,347,0,811,800,0,442,399,0,128.83203125
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,9,1197.8529328639852,11973.234337656992,11973.234337656992,16,160,2307,0,-123,0,145.0,0.0,True,False,False,4,,,2302,,,1026,1171,145,392,344,0,817,797,0,436,400,0,128.83203125
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,10,1189.987358687038,13163.231321291998,13163.231321291998,16,176,2398,0,-32,0,34.0,0.0,True,False,False,4,,,2302,,,1086,1120,34,385,346,0,823,795,0,430,399,0,129.08984375
AM250__ratio0.90__seed1001__proposed,AM250,250T,2700,0.9,2430,1001,proposed,12037046,12036995,50,1,0,False,,11,1189.3750906970236,14352.616265462013,14352.616265462013,16,192,2252,0,-178,0,0.0,0.0,True,True,True,4,11,11,2252,2252,11,1141,1126,0,378,348,0,823,800,0,424,399,0,129.34765625
