run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,1,2474.6045572609873,4956.968616690952,4956.968616690952,16,32,4169,299,299,299,1265.0,299.0,False,False,False,,,,4169,,,1025,2290,1265,954,870,0,909,407,0,909,419,0,200.66796875
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,2,2480.272722469992,7437.26171637699,7437.26171637699,16,48,4650,780,780,780,1177.0,780.0,False,False,False,,,,4169,,,1085,2262,1177,943,870,0,854,411,0,854,420,0,202.23828125
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,3,2486.747628342011,9924.022540498001,9924.022540498001,16,64,4376,506,506,506,1167.0,506.0,False,False,False,,,,4169,,,1145,2312,1167,935,875,0,803,409,0,803,420,0,202.23828125
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,4,2423.378070228966,12347.418469358992,12347.418469358992,16,80,4902,1032,1032,1032,1048.0,1032.0,False,False,False,,,,4169,,,1205,2253,1048,927,875,0,755,407,0,755,421,0,202.23828125
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,5,2494.542801304953,14841.976879992988,14841.976879992988,16,96,4902,1032,1032,1032,1048.0,1032.0,False,False,False,,,,4169,,,1205,2253,1048,927,875,0,755,407,0,755,421,0,202.4921875
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,6,2455.6022548769834,17297.593019069987,17297.593019069987,16,112,4902,1032,1032,1032,1048.0,1032.0,False,False,False,,,,4169,,,1205,2253,1048,927,875,0,755,407,0,755,421,0,202.75
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,7,2489.3207161269966,19786.92800221697,19786.92800221697,16,128,4620,750,750,750,944.0,750.0,False,False,False,,,,4169,,,1325,2269,944,917,873,0,667,408,0,667,419,0,203.0078125
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,8,2433.143750224961,22220.087981749966,22220.087981749966,16,144,4620,750,750,750,944.0,750.0,False,False,False,,,,4169,,,1325,2269,944,917,873,0,667,408,0,667,419,0,203.0078125
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,9,2430.165726387,24650.268697616993,24650.268697616993,16,160,4485,615,615,615,899.0,615.0,False,False,False,,,,4169,,,1445,2344,899,909,872,0,589,410,0,589,420,0,203.265625
AM500__ratio0.90__seed1002__proposed,AM500,500T,4300,0.9,3870,1002,proposed,12037162,12037076,11,1,0,False,,10,2431.2550120279775,27081.538480655,27081.538480655,16,176,4485,615,615,615,899.0,615.0,False,False,False,,,,4169,,,1445,2344,899,909,872,0,589,410,0,589,420,0,203.265625
