run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,1,2586.8376149309333,5277.714702714002,5277.714702714002,16,32,4389,1379,1379,1379,1607.0,1379.0,False,False,False,,,,4389,,,797,2331,1534,797,870,73,707,411,0,707,421,0,200.70703125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,2,2558.5414227930596,7836.358188676997,7836.358188676997,16,48,4369,1359,1359,1359,1490.0,1359.0,False,False,False,,,,4369,,,845,2291,1446,829,873,44,665,407,0,665,420,0,202.03125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,3,2541.8225598890567,10378.197148895008,10378.197148895008,16,64,3741,731,731,731,1476.0,731.0,False,False,False,,,,3741,,,845,2281,1436,831,871,40,665,407,0,665,419,0,202.03125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,4,2536.0731665389612,12914.287470142008,12914.287470142008,16,80,4586,1576,1576,1576,1430.0,1576.0,False,False,False,,,,3741,,,950,2373,1423,869,876,7,588,410,0,588,419,0,202.2890625
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,5,2652.8053615739336,15567.110032295925,15567.110032295925,16,96,4443,1433,1433,1433,1393.0,1433.0,False,False,False,,,,3741,,,1007,2400,1393,880,872,0,553,407,0,554,420,0,202.546875
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,6,2836.5806652690517,18403.718721580924,18403.718721580924,16,112,4751,1741,1741,1741,1285.0,1741.0,False,False,False,,,,3741,,,1007,2292,1285,876,871,0,553,411,0,554,421,0,202.8046875
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,7,2755.658597885049,21159.39959700103,21159.39959700103,16,128,4039,1029,1029,1029,1241.0,1029.0,False,False,False,,,,3741,,,1127,2368,1241,892,876,0,501,407,0,507,420,0,202.8046875
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,8,2675.105151631986,23834.52762470802,23834.52762470802,16,144,4850,1840,1840,1840,1102.0,1840.0,False,False,False,,,,3741,,,1127,2229,1102,888,874,0,503,409,0,508,420,0,203.0625
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,9,2631.168089075014,26465.71770083392,26465.71770083392,16,160,4850,1840,1840,1840,1102.0,1840.0,False,False,False,,,,3741,,,1127,2229,1102,888,874,0,503,409,0,508,420,0,203.3203125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,10,2716.109795497032,29181.84985702997,29181.84985702997,16,176,4850,1840,1840,1840,1102.0,1840.0,False,False,False,,,,3741,,,1127,2229,1102,888,874,0,503,409,0,508,420,0,203.3203125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,11,2655.7839071510825,31837.656143033993,31837.656143033993,16,192,4850,1840,1840,1840,1102.0,1840.0,False,False,False,,,,3741,,,1127,2229,1102,888,874,0,503,409,0,508,420,0,203.578125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,12,2731.06462782796,34568.744864968,34568.744864968,16,208,4544,1534,1534,1534,1034.0,1534.0,False,False,False,,,,3741,,,1367,2401,1034,903,873,0,453,411,0,462,419,0,203.8359375
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,13,2692.992878893041,37261.75655640999,37261.75655640999,16,224,4544,1534,1534,1534,1034.0,1534.0,False,False,False,,,,3741,,,1367,2401,1034,903,873,0,453,411,0,462,419,0,204.09375
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,14,2643.3464659790043,39905.12167909497,39905.12167909497,16,240,4478,1468,1468,1468,968.0,1468.0,False,False,False,,,,3741,,,1187,2155,968,894,874,0,486,408,0,492,421,0,204.09375
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,15,2721.801052342984,42626.94222830492,42626.94222830492,16,256,4366,1356,1356,1356,822.0,1356.0,False,False,False,,,,3741,,,1487,2309,822,909,872,0,441,408,0,450,421,0,204.3515625
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,16,2709.2224278469803,45336.18880671996,45336.18880671996,16,272,5476,2466,2466,2466,783.0,2466.0,False,False,False,,,,3741,,,1547,2330,783,909,873,0,435,409,0,444,419,0,204.609375
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,17,2732.68943849497,48068.898175006965,48068.898175006965,16,288,4597,1587,1587,1587,762.0,1587.0,False,False,False,,,,3741,,,1607,2369,762,909,872,0,429,407,0,438,419,0,204.609375
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,18,2710.895845363033,50779.81393660698,50779.81393660698,16,304,4521,1511,1511,1511,686.0,1511.0,False,False,False,,,,3741,,,1667,2353,686,909,872,0,429,408,0,438,420,0,204.8671875
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,19,2637.8928448479855,53417.727467336925,53417.727467336925,16,320,4500,1490,1490,1490,556.0,1490.0,False,False,False,,,,3741,,,1727,2283,556,909,866,0,423,410,0,438,421,0,205.125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,20,2723.528625748935,56141.288903913926,56141.288903913926,16,336,4246,1236,1236,1236,529.0,1236.0,False,False,False,,,,3741,,,1787,2316,529,903,871,0,423,409,0,438,421,0,205.125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,21,2734.4146019490436,58875.73093926697,58875.73093926697,16,352,4233,1223,1223,1223,460.0,1223.0,False,False,False,,,,3741,,,1847,2307,460,903,874,0,423,410,0,438,421,0,205.3828125
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,22,2711.580945677939,61587.333420246025,61587.333420246025,16,368,4233,1223,1223,1223,460.0,1223.0,False,False,False,,,,3741,,,1847,2307,460,903,874,0,423,410,0,438,421,0,205.640625
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,23,2700.9595733059105,64288.31471725495,64288.31471725495,16,384,4385,1375,1375,1375,383.0,1375.0,False,False,False,,,,3741,,,1907,2290,383,903,874,0,423,409,0,438,420,0,205.9921875
AM500__ratio0.70__seed1005__proposed,AM500,500T,4300,0.7,3010,1005,proposed,12042054,12037077,34,1,0,False,,24,2691.714301232947,66980.05671762396,66980.05671762396,16,400,4542,1532,1532,1532,380.0,1532.0,False,False,False,,,,3741,,,1847,2227,380,909,876,0,426,409,0,438,422,0,205.9921875
