run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,1,1331.3817528691143,2599.11931809783,2599.11931809783,16,32,2781,891,891,891,929.0,891.0,False,False,False,,,,2781,,,500,1132,632,447,346,0,500,797,297,459,400,0,127.3203125
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,2,1235.8318024063483,3835.0098532857373,3835.0098532857373,16,48,2495,605,605,605,874.0,605.0,False,False,False,,,,2495,,,530,1136,606,428,347,0,530,798,268,449,399,0,127.8359375
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,3,1244.0979260629974,5079.120908233803,5079.120908233803,16,64,2982,1092,1092,1092,821.0,1092.0,False,False,False,,,,2495,,,562,1146,584,413,348,0,562,799,237,441,400,0,127.8359375
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,4,1215.781934614759,6294.915117343888,6294.915117343888,16,80,2262,372,372,372,761.0,372.0,False,False,False,,,,2262,,,596,1148,552,400,346,0,596,805,209,435,399,0,128.09375
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,5,1218.221207255032,7513.148591748904,7513.148591748904,16,96,2598,708,708,708,667.0,708.0,False,False,False,,,,2262,,,632,1132,500,392,346,0,632,799,167,429,400,0,128.3515625
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,6,1220.3859664811753,8733.546677407809,8733.546677407809,16,112,2639,749,749,749,561.0,749.0,False,False,False,,,,2262,,,670,1100,430,384,345,0,670,801,131,423,400,0,128.3515625
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,7,1214.1801133761182,9947.735624876805,9947.735624876805,16,128,2454,564,564,564,502.0,564.0,False,False,False,,,,2262,,,710,1118,408,379,347,0,710,804,94,417,400,0,128.609375
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,8,1189.8127478091046,11137.557646261062,11137.557646261062,16,144,2162,272,272,272,430.0,272.0,False,False,False,,,,2162,,,753,1130,377,373,347,0,747,800,53,417,400,0,128.8671875
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,9,1206.054426710587,12343.621327308007,12343.621327308007,16,160,2617,727,727,727,385.0,727.0,False,False,False,,,,2162,,,798,1152,354,366,346,0,775,806,31,417,400,0,128.8671875
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,10,1208.5622126650997,13552.192881749943,13552.192881749943,16,176,2368,478,478,478,357.0,478.0,False,False,False,,,,2162,,,846,1197,351,360,349,0,793,799,6,417,400,0,129.125
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,11,1212.3362099020742,14764.543054000009,14764.543054000009,16,192,2383,493,493,493,244.0,493.0,False,False,False,,,,2162,,,897,1141,244,360,345,0,803,803,0,417,399,0,129.3828125
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,12,1214.137565950863,15978.695826537907,15978.695826537907,16,208,2227,337,337,337,205.0,337.0,False,False,False,,,,2162,,,951,1156,205,360,345,0,809,804,0,417,401,0,129.3828125
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,13,1224.0380605598912,17202.745703310706,17202.745703310706,16,224,2657,767,767,767,152.0,767.0,False,False,False,,,,2162,,,1008,1160,152,360,345,0,815,803,0,417,400,0,129.640625
AM250__ratio0.70__seed1004__proposed,AM250,250T,2700,0.7,1890,1004,proposed,12037092,12036995,73,1,0,False,,14,1219.1139766061679,18421.87186376797,18421.87186376797,16,240,2241,351,351,351,80.0,351.0,False,False,False,,,,2162,,,1068,1148,80,360,346,0,821,803,0,417,399,0,129.8984375
