run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,1,1362.8018882620381,2779.9423183290055,2779.9423183290055,16,32,2527,447,447,447,1824.0,447.0,False,False,False,,,,2527,,,551,1990,1439,489,129,0,489,243,0,551,936,385,117.078125
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,2,1342.5919270570157,4122.560741671012,4122.560741671012,16,48,2353,273,273,273,1755.0,273.0,False,False,False,,,,2353,,,584,1986,1402,460,129,0,460,243,0,584,937,353,117.109375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,3,1346.9365491200006,5469.504035428981,5469.504035428981,16,64,2314,234,234,234,1690.0,234.0,False,False,False,,,,2314,,,619,1989,1370,432,129,0,432,244,0,619,939,320,117.109375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,4,1345.9651379240095,6815.479454185988,6815.479454185988,16,80,2314,234,234,234,1610.0,234.0,False,False,False,,,,2314,,,656,1985,1329,406,129,0,406,243,0,656,937,281,117.359375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,5,1319.7955678679864,8135.285416318977,8135.285416318977,16,96,2355,275,275,275,1537.0,275.0,False,False,False,,,,2314,,,695,1989,1294,382,129,0,382,243,0,695,938,243,117.6171875
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,6,1299.8293976489804,9435.124080770998,9435.124080770998,16,112,2436,356,356,356,1443.0,356.0,False,False,False,,,,2314,,,737,1980,1243,359,129,0,359,243,0,737,937,200,117.875
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,7,1299.2712859109743,10734.404697863967,10734.404697863967,16,128,2319,239,239,239,1366.0,239.0,False,False,False,,,,2314,,,781,1989,1208,337,129,0,337,243,0,781,939,158,117.875
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,8,1293.5922693470493,12028.002707478998,12028.002707478998,16,144,2655,575,575,575,1270.0,575.0,False,False,False,,,,2314,,,828,1988,1160,317,129,0,318,243,0,828,938,110,118.1328125
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,9,1297.0314923349652,13325.040228508005,13325.040228508005,16,160,2487,407,407,407,1170.0,407.0,False,False,False,,,,2314,,,878,1982,1104,298,129,0,303,245,0,874,940,66,118.390625
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,10,1303.287824486033,14628.334213520982,14628.334213520982,16,176,2432,352,352,352,1088.0,352.0,False,False,False,,,,2314,,,931,1985,1054,280,129,0,292,243,0,905,939,34,118.390625
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,11,1288.321770415001,15916.662280035962,15916.662280035962,16,192,2313,233,233,233,1014.0,233.0,False,False,False,,,,2313,,,987,1985,998,263,129,0,283,244,0,926,942,16,118.6484375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,12,1309.4947648679954,17226.166329725005,17226.166329725005,16,208,2628,548,548,548,942.0,548.0,False,False,False,,,,2313,,,1046,1987,941,247,129,0,277,243,0,939,940,1,118.6484375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,13,1322.3175936290063,18548.49560491601,18548.49560491601,16,224,2467,387,387,387,883.0,387.0,False,False,False,,,,2313,,,1106,1989,883,232,129,0,270,243,0,947,942,0,118.90625
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,14,1299.1241096510203,19847.628227002977,19847.628227002977,16,240,2380,300,300,300,820.0,300.0,False,False,False,,,,2313,,,1166,1986,820,218,129,0,264,243,0,952,941,0,119.1640625
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,15,1319.6541564740473,21167.289427272975,21167.289427272975,16,256,2476,396,396,396,758.0,396.0,False,False,False,,,,2313,,,1226,1984,758,205,129,0,258,243,0,959,940,0,119.421875
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,16,1301.2640404679696,22468.560925455997,22468.560925455997,16,272,2354,274,274,274,699.0,274.0,False,False,False,,,,2313,,,1286,1985,699,193,129,0,252,243,0,965,938,0,119.421875
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,17,1296.6258460669778,23765.194287867984,23765.194287867984,16,288,2507,427,427,427,635.0,427.0,False,False,False,,,,2313,,,1346,1981,635,181,129,0,252,244,0,971,944,0,119.6796875
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,18,1372.9345033640275,25138.136714575987,25138.136714575987,16,304,2367,287,287,287,577.0,287.0,False,False,False,,,,2313,,,1406,1983,577,171,129,0,252,243,0,971,941,0,119.9375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,19,1583.8841994680115,26722.029172854964,26722.029172854964,16,320,2384,304,304,304,520.0,304.0,False,False,False,,,,2313,,,1466,1986,520,163,129,0,252,243,0,971,943,0,119.9375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,20,1529.7818881209823,28251.824621232983,28251.824621232983,16,336,2419,339,339,339,461.0,339.0,False,False,False,,,,2313,,,1526,1987,461,157,129,0,252,243,0,971,940,0,122.2578125
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,21,1465.995096617029,29717.834942774964,29717.834942774964,16,352,2473,393,393,393,396.0,393.0,False,False,False,,,,2313,,,1586,1982,396,151,129,0,252,243,0,977,942,0,122.515625
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,22,1476.5888101519668,31194.441736762004,31194.441736762004,16,368,2360,280,280,280,342.0,280.0,False,False,False,,,,2313,,,1646,1988,342,145,129,0,252,244,0,971,942,0,122.515625
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,23,1478.2808545079897,32672.736821561994,32672.736821561994,16,384,2417,337,337,337,282.0,337.0,False,False,False,,,,2313,,,1706,1988,282,139,129,0,252,243,0,977,934,0,122.7734375
AM100__ratio0.80__seed1004__proposed,AM100,100T,2600,0.8,2080,1004,proposed,12037019,12036995,23,1,0,False,,24,1375.9178512539947,34048.668204404996,34048.668204404996,16,400,2451,371,371,371,218.0,371.0,False,False,False,,,,2313,,,1766,1984,218,134,129,0,252,243,0,977,939,0,123.03125
