run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,1,1231.1915043920162,2522.668292870978,2522.668292870978,16,32,2875,175,175,175,497.0,175.0,False,False,False,,,,2875,,,716,1130,414,634,346,0,716,799,83,634,399,0,127.29296875
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,2,1195.2501800589962,3717.9383186679916,3717.9383186679916,16,48,2713,13,13,13,392.0,13.0,False,False,False,,,,2713,,,759,1104,345,596,345,0,751,798,47,596,399,0,127.80078125
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,3,1206.2468487909646,4924.193001644977,4924.193001644977,16,64,2252,0,-448,0,371.0,0.0,True,False,False,3,,,2252,,,805,1153,348,560,345,0,779,802,23,560,400,0,127.80078125
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,4,1207.464146066981,6131.670286370965,6131.670286370965,16,80,2776,76,76,76,273.0,76.0,False,False,False,3,,,2252,,,853,1111,258,526,346,0,790,805,15,528,400,0,128.05859375
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,5,1220.6973343520076,7352.380895356007,7352.380895356007,16,96,2269,0,-431,0,252.0,0.0,True,False,False,3,,,2252,,,904,1156,252,494,344,0,805,801,0,503,401,0,128.05859375
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,6,1280.5577376500005,8632.95151247899,8632.95151247899,16,112,3269,569,569,569,188.0,569.0,False,False,False,3,,,2252,,,958,1146,188,465,347,0,810,797,0,484,400,0,128.31640625
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,7,1288.0676562839653,9921.032669292006,9921.032669292006,16,128,2236,0,-464,0,94.0,0.0,True,False,False,3,,,2236,,,1015,1109,94,441,345,0,816,804,0,468,400,0,128.57421875
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,8,1288.7037921370356,11209.747931804974,11209.747931804974,16,144,2141,0,-559,0,43.0,0.0,True,False,False,3,,,2141,,,1075,1118,43,423,348,0,824,800,0,456,400,0,128.83203125
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,9,1259.2648713929811,12469.022388459009,12469.022388459009,16,160,2055,0,-645,0,30.0,0.0,True,False,False,3,,,2055,,,1120,1150,30,409,346,0,830,802,0,447,400,0,128.83203125
AM250__ratio1.00__seed1010__proposed,AM250,250T,2700,1.0,2700,1010,proposed,12037045,12036995,49,1,0,False,,10,1190.12355088396,13659.155821071996,13659.155821071996,16,176,2282,0,-418,0,1.0,0.0,True,False,False,3,,,2055,,,1141,1142,1,398,345,0,829,803,0,440,400,0,129.1484375
